original_id_2017;name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temperatuur;vet_percentage;micro
11;Volendammer Vishandel Sanny Bont;Passage 77 - Nieuwegein;9;Een hard gelag. Bont valt uit de top 10 na het bekend worden van de microbiologische resultaten. Dat doet voor een deel het harde werken teniet. Maar het blijft een mooie klassering.;Ja;Een haring met alleen maar positieve kenmerken. Volle romige smaak, fris en zilt. Een uitstapje waard voor de echte haringliefhebber.;9.5;Gemiddeld;Zeer goed;68;2.20;3.23;2.8;14.8;Waarschuwingsfase
12;Bartje’s Vis;Deldensestraat 31 - Almelo;9;Eigenaar Bart Schreuter heeft zich de afgelopen jaren fanatiek op de haring gestort en tal van kwaliteitsstappen gemaakt. Dat werpt nu zijn vruchten af. Groot compliment voor hele team.;Ja;Een toppertje. De Noordzee ligt 200 kilometer naar het westen, maar je ruikt hem wel. Fris en zilt. Mooi rood en blank. Een ware traktatie.;9;Licht;Zeer goed;59;2.00;3.38;6.3;13.4;Zeer goed
13;Urker Vishandel Van Slooten;Slotplantsoen 3 - Meppel;9;Eigenaar Johan van Slooten moet dankzij een afgescheurde achillespees al het werk aan het personeel overlaten. Wellicht geeft deze uitslag toch reden tot een klein feestje. Want het wordt druk.;Ja;En dan vind je in het noorden ineens een verborgen gebleven pareltje. Haring heeft alles wat erop en eraan moet zitten. Gewoon smullen.;9;Gemiddeld;Zeer goed;67;2.00;2.98;6.7;12.0;Zeer goed
14;Vishandel Atlantic;Levendaal 118 - Leiden;8.97;Meervoudig oud-winnaar Atlantic laat een steekje vallen. Op dit niveau kunnen ook kleine vergissingen ‘fataal’ zijn. Misschien het eerste signaal dat de scherpte niet meer optimaal is?;Ja;De haring op zich is uitstekend van smaak, maar het plezier wordt vergald doordat de kopgraten niet zijn verwijderd. Dat eet heel vervelend.;8.97;Licht;Goed;72;1.60;2.22;2.0;12.5;Zeer goed
15;Visgilde Lijffijt & De Jong;Biltstraat 50 - Utrecht;8.97;Lijffijt & De Jong is een zaak waar men altijd erg bezig is met kwaliteit. Die instelling werpt zijn vruchten af bij deze biologische viswinkel. Adres om te onthouden voor wie eens in de buurt is.;Ja;Voortreffelijke haring waaraan alleen het wauw-effect ontbreekt. Mals, zilt en romig. Ruikt fris en ziet er ook aantrekkelijk uit.;8.97;Gemiddeld;Zeer goed;81;2.25;2.77;0.3;9.2;Goed
16;Visspecialist Sluizeman;Baronie 90 - Alphen a/d Rijn;8.97;Meedraaien in de bovenste regionen is het bedrijven van topsport. Dan komt het aan op de kleinste punten. Sluizeman heeft zich de afgelopen jaren uitstekend ontwikkeld. Hulde.;Ja;Heerlijke haring, maar ook hier zijn de nog aanwezige kopgraten het struikelblok. Doodzonde. Was op smaak beslist in de top 10 geëindigd.;8.97;Licht;Goed;72;2.25;3.12;0.4;14.1;Zeer goed
17;Visgilde Steehouwer;De Schoof 80 - Hendrik-Ido-Ambacht;8.97;Zoals in elk beroep heb je ook bij de visdetaillisten goede en minder goede ondernemers. Steehouwer toont al jaren aan bij de eerste categorie te horen. Hij stelt nooit teleur. Klasse!;Ja;Vertrouwd adres stelt niet teleur. Een Nieuwe van topkwaliteit. Mals, zilt en romig. Zilver met een mooie speklaag. Weer een mooie prestatie.;8.97;Gemiddeld;Zeer goed;67;2.10;3.13;0.9;9.8;Goed
18;Visgilde Teun van der Toorn;Doortocht 3 b - Bodegraven;8.97;De immer rustige Teun van der Toorn stelt nooit teleur. Vakman die de Hollandse Nieuwe tot in de toppen van zijn vingers onder controle heeft. De moeite van het omrijden waard.;Ja;Wat kan haring toch lekker zijn. Fris, je ruikt de zee. Afgezien van een tikkeltje karamelverkleuring een plaatje. Een genot om mee te maken.;8.97;Gemiddeld;Zeer goed;67;2.25;3.35;2.9;12.2;Zeer goed
19;Visspecialist Jaap Struik;Verkoopwagen Essendreef - Gouderak;8.97;Jaap Struik is een van die ondernemers die bewijst dat ook vanuit een verkoopwagen uitstekende producten kunnen worden geleverd. Een voorbeeld voor velen van zijn collega’s.;Ja;Evenals broer Corné zorgt Jaap Struik voor een aangename verrassing. Van de schoonmaak tot het laatste hapje bij de staart, het klopt gewoon.;8.97;Gemiddeld;Zeer goed;65;2.25;3.46;1.1;11.7;Zeer goed
20;Vis.;Lange Baan 34 - Nootdorp;8.97;Groot respect voor jonge ondernemers als eigenaar Niels van de Coterlet. Harde werkers die niet alleen een mooie zaak opbouwen, maar ook bereid zijn te leren en kennis op te doen.;Ja;Fris en zilt. Zilver met een mooie speklaag. Spierweefsel aan buitenzijde iets verkleurd, maar dat is eigen aan dit type haring. Op smaak mals en iets romig.;8.97;Gemiddeld;Zeer goed;71;2.25;3.16;3.1;12.6;Zeer goed
21;Visspeciaalzaak Havenzicht;Lunenburgstraat 3 - Breda;8.97;Stevie Wijnings durfde het avontuur aan en opende zijn derde winkel. Dit keer in Breda, waarmee deze stad eindelijk weer een viszaak van topniveau heeft. Ga zelf maar eens kijken.;Ja;Zeer goede Hollandse Nieuwe. Het begint met voortreffelijk schoonmaken. Ziet er vanbinnen en vanbuiten goed uit. Lekker mals en romig.;8.97;Gemiddeld;Zeer goed;72;2.25;3.72;3.3;11.7;Zeer goed
22;puurvis;Damlaan 69 a - Leidschendam;8.97;In het westen van het land is gemiddeld genomen het niveau van een viswinkel hoger en puurvis is daar een goed voorbeeld van. Kan met het geluk van een goede partij nog hoger scoren.;Ja;Een prima Hollandse Nieuwe. Mals, zilt en romig glijdt het beestje zo naar binnen. Hier ook mooi zilveren buitenzijde, transparant blank visvlees.;8.97;Gemiddeld;Zeer goed;63;2.25;3.57;3.8;11.6;Zeer goed
23;Volendammer Visspecialist Tom Tuijp;Middenburcht 7 - Vleuten;8.97;Ook Tom Tuijp viel al menigmaal in de prijzen. Eindigt nu niet in de top 10, maar de verschillen in de bovenste regionen zijn marginaal. Vrij naar Nicolaas Klei: omfietsharing.;Ja;Een van de keurmeesters proeft een klein bittertje, maar voor de rest een prima haring. Ook zilt en iets romig. Fris en blank visvlees.;8.97;Gemiddeld;Zeer goed;72;2.30;3.15;4.1;10.4;Goed
24;Visgilde John Vermaas;Mia van IJperenplein 101 - Rotterdam;8.97;Op zijn eigen wijze timmert John Vermaas al vele jaren aan de weg, waarbij hij Kwaliteit met een hoofdletter in het vaandel heeft staan. Heeft duidelijke mening over straatverkoop.;Ja;En weer een haring waarop eigenlijk niets aan te merken valt. Alle positieve kenmerken zijn in meer of mindere mate aanwezig. Gewoon goed.;8.97;Gemiddeld;Zeer goed;64;2.00;3.12;5.4;10.8;Zeer goed
25;Visspecialist Martin den Heijer;Fahrenheitstraat 656 - Den Haag;8.97;Mooie viswinkel waar het goed toeven is. Ook dit keer laat Martin den Heijer zien dat hij het hele proces van de Hollandse Nieuwe onder de knie heeft. Hij weet waar hij mee bezig is.;Ja;Vakmensen aan het werk zien: altijd een genoegen. De geur is zilt, het visvlees mooi blank en de smaak zoals een Hollandse Nieuwe kan smaken.;8.97;Licht;Zeer goed;75;1.95;2.60;5.6;13.2;Zeer goed
26;Visgilde Leen de Jong;Middenbaan 73 - Barendrecht;7.97;In het algemeen laten de Visgilde-bedrijven zich kennen als de betere visdetaillisten. Leen de Jong is daar met deze Hollandse Nieuwe het levende bewijs van. Een knappe prestatie.;Ja;Hoewel de wauw-factor ontbreekt (dan was het een 10 geweest), is dit weer een aangename verrassing. Mals, zilt en romig. Doorhappen!;8.97;Gemiddeld;Zeer goed;64;2.25;3.51;6.8;10.2;Slecht
27;Het Beste Maatje;Stationsstraat 1 a - Middelburg;8.5;Eigenaar Adriaan van Moort is ook docent bij de SVO-vakopleiding. Daar kan hij nu ook vertellen hoe belangrijk het is de temperatuur in de hand te houden. Mist daardoor top 10 plaats.;Ja;Ook hier weer een voortreffelijke haring met veel positieve kenmerken. Voor wie in Middelburg is en van haring houdt zeker de moeite waard.;9;Gemiddeld;Goed;65;2.20;3.38;8.6;10.1;Zeer goed
28;Vishandel Peter Tol;Oostelijke Handelskade 1041–1045 - Amsterdam;8.5;De verzorgde winkel (en dito personeel) van Peter Tol is een lust voor het oog. Het lijkt allemaal zo simpel, maar hier wordt achter de schermen overduidelijk hard gewerkt.;Ja;Een Hollandse Nieuwe zoals je hem graag ziet. Nog enigszins romig en zilt. Hier pak je graag een tweede exemplaar bij de staart. Lekker!;9;Licht;Zeer goed;72;2.50;3.47;8.9;11.5;Goed
29;Volendammer Vishandel Johan Schilder;Europaboulevard 361 - Alkmaar;8.5;Fanatieke Johan Schilder is ‘not amused’ als hij merkt dat zijn personeel de instructies om ijs mee te pakken heeft genegeerd. Temperatuur iets te hoog. Kost een half punt en een hogere plaats.;Ja;Een klein feestje. Fris, transparant en mooi rood. Zilver vanbuiten, blank vanbinnen. Dit eet je met genoegen op. Is er nog een stukje?;9;Gemiddeld;Zeer goed;63;2.00;2.94;9.4;12.9;Zeer goed
30;Vishandel Nick;Markt 8 - Druten;8.5;Nick wilde graag weten ‘waar hij staat’ en geeft zichzelf op voor de test. Hij hoeft zich geen zorgen te maken. Haal alle graten weg en een nog hogere score ligt binnen handbereik.;Ja;Misschien waren het de zenuwen, maar hier zijn echt veel te veel graten achtergebleven. Voor de rest best wel een smakelijke Nieuwe.;8.5;Gemiddeld;Matig;79;2.50;3.76;4.2;12.6;Goed
31;Volendammer Vishandel Snoek;Helmholtzstraat 56 - Amsterdam;8.5;Kijk hoe liefdevol een klant die slecht ter been is naar haar scootmobiel wordt geholpen en het is duidelijk welke sociale plaats Snoek in de buurt inneemt. Amsterdamse gezelligheid.;Ja;Even een harinkje happen bij Snoek. De buurt kent z’n adresje. Perfect schoongemaakt, nog iets zilt en romig. Mooi zilver vanbuiten. Prima!;8.5;Gemiddeld;Zeer goed;86;2.20;2.55;5.3;12.2;Goed
32;Visspecialisten Kees en Chantal Sloot;Keizerswaard 12 - Rotterdam;8.5;Kees Sloot is een visverkoper die vertrouwen uitstraalt. Altijd goede producten en een keurige bediening. Beslist een potentiële kandidaat voor een toekomstige plaats in de top 10.;Ja;Na herkenning van het AD-testteam slaan de zenuwen toe. Nergens voor nodig. Er gaat een prima haring over de toonbank. Ook nog iets romig.;8.5;Gemiddeld;Zeer goed;76;2.15;2.82;5.9;13.5;Zeer goed
33;Fijnvishandel Santpoort aan Zee;Broekbergenlaan 44 - Santpoort;8.5;Deze winkel staat bij de lokale bevolking bekend als goed, maar wel aan de prijzige kant. Dat kan hier overigens wel lijden. Geld neerleggen voor slechte kwaliteit is altijd veel duurder.;Ja;Nette Nieuwe waarin alle positieve kenmerken nog in meer of mindere mate terug te vinden zijn. Iets zilt en romig. Best wel smakelijk hapje.;8.5;Gemiddeld;Zeer goed;79;2.40;3.03;6.2;9.6;Zeer goed
34;Lindsey’s Visspeciaalzaak;Veldpoortstraat 12 - Wijk bij Duurstede;8.5;Na de harde les kort na de opening vorig jaar zetten de jonge eigenaren alles op alles om beter voor de dag te komen. Verdiepten zich in de materie. En met succes. Goed gedaan.;Ja;Schoonmaken is top. Frisse haring. Zilver vanbuiten met mooie speklaag. Mals, ook nog iets romig. Ook een enigszins belegen smaak. Gewoon goed.;8.5;Gemiddeld;Zeer goed;71;2.20;3.09;6.9;14.2;Goed
35;Mediterranee;Vierambachtstraat 135 - Rotterdam;8;Geen vork gebruikt, vuil op de vloer, geen schone bedrijfskleding, handschoenen dragen maar wel geld aanpakken. Signalen dat het met de hygiëne beter kan. Wees daarop attent.;Nee;Jammer dat de haring niet vers van het mes wordt gesneden. Wordt met blote handen van de schaal gepakt. Iets belegen, wel goed van smaak.;8.5;Licht;Zeer goed;76;1.60;2.10;4.7;11.4;Goed
36;Visamy;Bellamypark 44 - Vlissingen;8;Zonder meer een goede haring, alleen, hij mist datgene wat de Hollandse Nieuwe tot een echte delicatesse maakt. Maar je zou willen dat alle zaken dit niveau haalden.;Ja;Zeer goed schoongemaakt. Blijft daarna te lang ongekoeld staan, waardoor temperatuur snel oploopt. Mals en zilt. Aan de hartige kant.;8.5;Gemiddeld;Zeer goed;72;1.95;2.70;8.4;15.4;Zeer goed
37;Roeleveld Vis;Visafslagweg 30 - Den Haag;8;Vers van het mes gaan snijden en temperatuur beter bewaken en ook Roeleveld, van oudsher een zeer bekende naam in het Scheveningse viswereldje, scoort zo een 9 of hoger.;Nee;Ruikt iets gerijpt. Zilver vanbuiten, vanbinnen karamel verkleurd. Dat gaat razendsnel. Op smaak nog romig. Tikkeltje belegen haring.;8.5;Gemiddeld;Goed;71;1.75;2.46;8.9;12.2;Zeer goed
38;’t Vispleintje;Sint Annaplein 11 - Baarle-Nassau;8;Twee jonge vrouwen begonnen hun eigen winkel en leggen daar eer mee in. Van heinde en verre stromen de klanten toe. Voor een dergelijke haring is dat de reis ook waard.;Ja;Het schoonmaken kan niet beter. Fris van geur. Iets karamel verkleurd, maar dat mag de pret niet drukken. Mals en aan de hartige kant.;8.5;Gemiddeld;Zeer goed;51;2.35;4.60;9.7;9.5;Zeer goed
39;Viscircus Gebr. Koning;Schippergarage 23 - Almere;8;Een ongelukkig testmoment. Als het AD binnenstapt, is de nieuwe winkel van Koning net drie uur open en dat betekent sowieso stress. Dan zo’n haring afleveren is dan ronduit een prestatie.;Ja;Hoewel de zenuwen toeslaan, maakt Jan Koning de Nieuwe perfect schoon. Fris en er is ook nog iets van een romige smaak terug te vinden.;8;Gemiddeld;Zeer goed;80;2.10;2.62;-2.1;18.4;Zeer goed
40;Volendammer Vispaleis Tol;Brockwaystraat 1 - Haarlem;8;Vispaleis Tol opende nog niet zo lang geleden de deuren en profiteert mee van de stroom publiek die de Vomar trekt. Niets mis mee. Nu al een aanwinst voor visminnend Haarlem.;Ja;Geen graatje te bekennen en dat doet goed. Mooi zilver aan buitenkant. Nog enigszins fris en zilt. Niet de echte top, maar wel goed. Keurig gedaan.;8;Gemiddeld;Zeer goed;79;2.25;2.84;1.7;11.1;Zeer goed
41;Van den Boogaart Visspecialiteiten;Hof van Holland 24 - Zwijndrecht;8;Een adres waar wordt geprobeerd het beste uit het product te halen. Wie op een dergelijke manier bewust bezig is, zal zich altijd positief onderscheiden. Ga door op de ingeslagen weg.;Ja;Absoluut oké. Ruikt nog iets naar de zee. Vanbuiten zilver, vanbinnen rood en blank. Frisse haring die zich gemakkelijk laat weghappen.;8;Gemiddeld;Zeer goed;67;2.00;2.98;3.4;13.9;Zeer goed
42;Visspecialist Van Lopik;Piazza Center 27 - Gorinchem;8;Van Lopik is al vele jaren een vaste waarde in de subtop. Heeft in de nabije omgeving geen echte concurrentie. Daardoor ontbreekt wellicht de prikkel om dat extra stapje harder te lopen.;Ja;Een goede haring, maar je ziet hem onder je handen bruin verkleuren. Stevige bite. Is nog iets romig. Jammer van die paar kleine graatjes.;8;Gemiddeld;Goed;61;1.95;3.19;4.7;7.7;Zeer goed
43;Spakenburgse Visspecialist Arjan Pastoor;Molenstraat 21 - Rhenen;8;Pastoors doet zichzelf een groot plezier met dit resultaat. En nog belangrijker: zijn klanten ook. Doel voor de komende jaren kan zijn steeds een half puntje hoger te scoren.;Ja;Zilver aan de buitenzijde met mooie speklaag. Ook vanbinnen fris en transparant. Nog iets mals, zilt en romig. Kan er absoluut me door.;8;Licht;Zeer goed;61;2.25;3.68;5.1;7.5;Zeer goed
44;De Jong Visspecialist;Utrechtsestraat 50 - IJsselstein;8;Als enige viswinkel in IJsselstein heeft De Jong natuurlijk een naam hoog te houden. Dat doet hij op keurige wijze. Een snelle blik in de vitrine leert dat het hier ook voor de rest wel goed zit.;Ja;Hier weten ze wat schoonmaken is. Een lust voor het oog en ook de smaakpapillen komen niets tekort. Stevige, hartige, iets belegen haring.;8;Sterk;Zeer goed;66;2.20;3.33;5.7;14.7;Goed
45;Vishandel Ger Buijs;Jacob van Campenplein - Rotterdam;8;De in de visbranche gepokt en gemazelde Ger Buijs weet waar hij mee bezig is heeft duidelijk plezier in zijn werk. Verwerft met zijn smakelijke haring een trouwe klantenkring.;Ja;Ruikt fris en gerijpt. Schoonmaak is helemaal in orde. Een mooie haring, die wel flink is doorgerijpt. Krijgt daarmee de smaak van oude kaas.;8;Gemiddeld;Zeer goed;55;1.75;3.18;6.1;10.8;Voldoende
46;De Visfuik;De Millystraat 9 - Zuidlaren;8;De Visfuik heeft al gedurende een reeks van jaren een plaats in de subtop. Dat is op zich een knappe prestatie. Klanten weten dat zij eigenlijk nooit teleurgesteld zullen weggaan.;Ja;Aan het schoonmaken is aandacht besteed. Mooi zilveren buitenzijde. Vanbinnen fris rood. Nog iets zilt en romig. Dit eet je niet voor je verdriet.;8;Gemiddeld;Zeer goed;61;2.00;3.27;6.3;10.8;Zeer goed
47;Vishandel Heijeplein;J.P. Heijeplein 1 - Dordrecht;8;Een kleine buurtzaak waar je altijd correct wordt geholpen. Er is aandacht voor de producten en voor de klanten. Als dit het algemene niveau was, zou de branche er beter voorstaan.;Ja;Vriendelijk personeel serveert een keurige haring. Mals en nog iets romig. Buitenzijde zilver. Fris en vanbinnen mooi helder rood en blank.;8;Gemiddeld;Goed;80;1.85;2.31;6.5;10.6;Goed
48;De Graaf Fish;Rompertpassage 53 - ’s-Hertogenbosch;7.5;‘Zijn zij het?’ gilt de verkoopster naar haar baas als zij meent het AD-team te herkennen. De haring is prima, maar de hygiëne is wel een puntje dat meer aandacht moet krijgen.;Ja;Neutraal van geur, een beetje vuil van de snijplank. Verder fris en zilver. De lichtgezouten haring heeft voor de rest geen minpunten. Lekker mals.;8.5;Groen;Goed;72;2.25;3.04;-1.8;15.9;Slecht
49;Vis van Klaas;Verkoopwagen Damplein - Dordrecht;7.5;Op een hete zomerdag is het in een verkoopwagen lastig werken. Alle begrip daarvoor. Desondanks moet de haring toch kouder worden gepresenteerd. De risico’s zijn te groot.;Nee;Goede haring die op smaak in de buurt komt van de echte top. Zeer goed schoongemaakt. Te hoge temperatuur is wel een punt van aandacht.;8.5;Licht;Zeer goed;53;2.25;4.24;12.1;15.8;Zeer goed
50;Visspecialist Hellevoetsluis;Struytse Hoeck 319 a - Hellevoetsluis;7.5;De test is altijd een momentopname. In het verleden heeft deze visspecialist weleens hoger gescoord. Het vakmanschap en de kennis zijn hier zeker aanwezig, dus even een tandje bijzetten.;Ja;Haring heeft nog een aantal positieve kenmerken: iets zilt en romig. Vanbinnen fris rood, maar de bruinkleuring begint al. Toch wel smakelijk.;8;Gemiddeld;Zeer goed;58;2.10;3.62;7.2;12.7;Zeer goed
51;Het Vishuis;Grotestraat 2 - Ede;7.5;Het allerbelangrijkste bij de verkoop van haring is een lage temperatuur. Onvoldoende koeling in de vitrine en de haring gaat achteruit. Toch komt Het Vishuis nog weg met een goede score.;Nee;Best een smakelijke Hollandse Nieuwe. Had ongetwijfeld hoger gescoord als hier het vers-van-het-mesprincipe was gehanteerd. Jammer.;8;Gemiddeld;Zeer goed;63;2.25;3.57;7.6;8.2;Zeer goed
52;Volendammer Vishandel Kroon;Globeplein 67 - Almere;7.5;De hele zaak straalt liefde voor het vak uit. Fraaie presentatie in mooi opgemaakte vitrine. Kroon moet nog even een iets betere partij haring oppikken en dan is het helemaal top.;Ja;Netjes schoongemaakt. Vanbuiten mooi zilver, vanbinnen mooi blank visvlees. Hapt wel lekker weg, maar mist het zilte en het romige.;7.5;Gemiddeld;Goed;88;2.25;2.55;-2.2;11.7;Zeer goed
53;LKKR;Tsjaikovskistraat 1 - Rhoon;7.5;Onwillekeurig heb je bij een verkooppunt een bepaald verwachtingspatroon. Vooraf was LKKR dan ook hoger ingeschat. Niet slecht, maar het kan gewoon zoveel beter.;Nee;Mals is nog de beste eigenschap. Voor de rest is al het frisse wel verdwenen. Vanbinnen iets bruin verkleurd. Ook een licht zoete bijsmaak.;7.5;Gemiddeld;Zeer goed;65;2.50;3.89;2.9;12.9;Zeer goed
54;Toet Visspecialiteiten;Herenstraat 60 - Voorburg;7.5;Iedere ondernemer mag de prijs vragen die hij zelf wil. Toch krijg je hier een hoog Kniertje-gevoel: de vis wordt duur betaald. Maar als je ermee wegkomt, waarom niet?;Ja;Huid en graten verhinderen beoordeling ‘zeer goed schoongemaakt’. Belegen, iets vettige haring. Niets mis mee, maar mist het kenmerkende.;7.5;Sterk;Goed;75;2.75;3.66;4.8;13.0;Zeer goed
55;Seven Seas Seafood;Zamenhofdreef 75 - Utrecht;7.5;Grote, nieuwe viswinkel opende enkele maanden geleden en loopt volgens de eigenaar ‘als een trein’. Haring is hier niet de eerste prioriteit, dus op zich een nette prestatie.;Ja;Opperhuid en anaalvin aanwezig. Nog iets zilt. Zilver vanbuiten, maar de karamelverkleuring heeft al ingezet. Zachte, wel smakelijke haring.;7.5;Gemiddeld;Goed;54;1.95;3.61;5.5;14.4;Zeer goed
56;Visspeciaalzaak Gebroeders De Block;Raadhuisplein 57 a - Krimpen a/d IJssel;7.5;Als detaillist kun je bij je groothandel je eigen partij uitzoeken, maar je bent toch afhankelijk van wat er voorhanden is. Klaarblijkelijk heeft De Block dit jaar een beetje pech gehad.;Ja;Haring ziet er goed uit, maar valt op smaak een beetje tegen. Water-en-windbeestje zonder specifieke negatieve of positieve eigenschappen.;7.5;Groen;Zeer goed;62;2.20;3.54;5.6;12.7;Zeer goed
57;De Jongens van de Fant;Breehorn 2 - Urk;7.5;De rij wachtenden staat tot buiten de deur. Niet voor de haring, maar voor Vaderdag Palingdag. De belangstelling van de lokale bevolking zegt iets over hoe deze zaak bekendstaat.;Nee;Huid en veel vieze smurrie. Haring oogt voor geen cent, maar de smaak valt mee. Doorgerijpt, maar geen smaakafwijkingen. Wel iets zalvig.;7.5;Gemiddeld;Matig;76;1.50;1.97;6;9.9;Zeer goed
58;Vishandel E. Fieret;Verkoopwagen Plein 1940 - Scherpenzeel;7.5;Vooral bij warm weer is het zaak in een verkoopwagen zeer alert te blijven. Blijft de haring even te lang liggen, dan is ransheid een feit. Fieret lijkt daaraan te ontsnappen.;Ja;In de geur is in de verte nog een vleugje zee te bespeuren. Aan de hartige kant, maar hapt verder wel lekker weg. Al een tikkeltje gerijpt.;7.5;Gemiddeld;Goed;69;2.00;2.89;6.1;11.1;Zeer goed
59;Visgilde Schot;Jan van Goijenstraat 6 - Papendrecht;7.5;Als, als, als. Als Schot een nieuwe emmer had gepakt, zou hij ongetwijfeld hoger hebben gescoord. Nu ook niet slecht, maar nu blijft hij toch steken in de middenmoot.;Nee;De haring komt uit een emmer die al enige tijd geleden is geopend. Dat is niet erg, maar het rijpingsproces gaat wel door. Dus een tikkeltje belegen.;7.5;Gemiddeld;Zeer goed;64;2.00;3.12;6.2;11.8;Zeer goed
