name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temp;vet_percentage;micro;unique_id;vollaard_id
Vishandel De Zeemeeuw;Meeuwenlaan 136 - Amsterdam;6.5;De Zeemeeuw mag dan een prima haring serveren, met een dergelijke slordige manier van werken is het gewoon wachten op het komende bedrijfsongeval. Bederf ligt op de loer.;Nee;Puur op smaak kan deze Nieuwe er wel mee door. Bedrijfsmatig gaat het om de details. Geen vork gebruikt, temperatuur veel te hoog.;8.0;Gemiddeld;Goed;77;2.50;3.24;12.9;9.4;Zeer goed;17_071;14
Vishandel Andaluce;Eerste Middellandstraat 21b - Rotterdam;7.0;Andaluce is een viswinkel met een goede naam. Maar op het gebied van omgaan met haring zijn er zeker nog verbeteringen denkbaar. De leverancier zou daarbij kunnen helpen.;Ja;Rommelig schoongemaakt: graten en ingewanden en vuil van de plank. Emmer in ijs maar warmte komt ook vanboven. Daardoor zacht en belegen.;7.0;Sterk;Matig;65;1.85;2.84;4.7;13.7;Zeer goed;16_068;15
Visspeciaalzaak Aan de Kant;Molendijk 20 - Oud Beijerland;4.0;Klant met hoge nood vraagt of hij van het toilet gebruik mag maken. Dat mag niet. Die vriendelijke' attitude vind je terug in de wijze waarop met de haring wordt omgesprongen.;Nee;Vuil van de plank. Ruikt vissig en tranig en belegen. Heeft te lang gelegen. Zuivere smaak is verdwenen. Vettig en rans. Gen plezier aan te beleven.;4.0;Sterk;Matig;57;1.90;3.33;5.2;8.8;Voldoende;16_109;16
Fish & Chips;Markt 39 - Middelburg;6.5;De echte liefhebber van Hollandse nieuwe zal waarschijnlijk niet veel ophebben met een dergelijk adres. Waarschijnlijk loont het de moeite te investeren in kennis en kunde.;Ja;Rafelig gesneden. Aan binnenzijde donkerrood en bruin verkleurd. Al flink doorgerijpt. Prima haring voor op een broodje. Uitje erbij en genieten.;7.0;Sterk;Matig;71;1.95;2.74;7.8;13.8;Zeer goed;16_075;17
Urker Vishandel Van Slooten;Slotplantsoen 3 - Meppel;9.0;Eigenaar Johan van Slooten moet dankzij een afgescheurde achillespees al het werk aan het personeel overlaten. Wellicht geeft deze uitslag toch reden tot een klein feestje. Want het wordt druk.;Ja;En dan vind je in het noorden ineens een verborgen gebleven pareltje. Haring heeft alles wat erop en eraan moet zitten. Gewoon smullen.;9.0;Gemiddeld;Zeer goed;67;2.00;2.98;6.7;12.0;Zeer goed;17_013;18
Vishandel Peter Tol;Oostelijke Handelskade 1041–1045 - Amsterdam;8.5;De verzorgde winkel (en dito personeel) van Peter Tol is een lust voor het oog. Het lijkt allemaal zo simpel, maar hier wordt achter de schermen overduidelijk hard gewerkt.;Ja;Een Hollandse Nieuwe zoals je hem graag ziet. Nog enigszins romig en zilt. Hier pak je graag een tweede exemplaar bij de staart. Lekker!;9.0;Licht;Zeer goed;72;2.50;3.47;8.9;11.5;Goed;17_028;19
Visspecialist Van Lopik;Piazza Center 27 - Gorinchem;8.0;Als enige viswinkel in Gorinchem is Van Lopik al vele jaren een vast gegeven in de Haringtest. Scoort altijd minimaal ruim voldoende en dat is op zich een nette prestatie.;Ja;Hier weten ze hoe je haring schoonmaakt. Zowel vanbinnen als vanbuiten ziet het beestje er uitstekend uit. Smaak iets minder maar wel goed.;8.0;Licht;Zeer goed;55;1.95;3.54;5.1;11.3;Zeer goed;16_046_17_042;20
Vishandel Timmerman;Verkoopwagen Petuniaplein - Zwolle;1.5;Eigenaar ziet testteam en komt praatje maken. Geeft ruiterlijk toe dat hij helemaal fout zit: ‘Ik was nog aan het opstarten en wat moet je anders?’ Probeer het eens met frisse haring.;Nee;Dit was ooit een goede haring. Wordt met de handen beetgepakt. Is een exemplaar van vorige dag. Grauw, bruin, cyclaam, klef, rans en olie. Bah!;2.0;Gemiddeld;Matig;61;1.85;3.03;4.5;13.2;Zeer goed;17_128;21
De Graaf’s Visspecialiteiten;Westwal 6 - Leerdam;9.7;Wouter en Monica de Graaf hebben zich de laatste jaren vastgebeten in de Hollandse Nieuwe. Dat kost inspanning, maar hun vakmanschap levert ze deze toppositie op.;Ja;Weer een toppertje. Terecht dat steeds meer klanten de weg naar deze winkel weten te vinden. Mals, zilt en romig. Scoort op alle punten.;9.7;Licht;Zeer goed;73;2.35;3.21;4.6;10.3;Zeer goed;17_004_16_030;22
Volendammer Visspecialist Tom Tuijp;Middenburcht 7 - Vleuten;8.97;Ook Tom Tuijp viel al menigmaal in de prijzen. Eindigt nu niet in de top 10, maar de verschillen in de bovenste regionen zijn marginaal. Vrij naar Nicolaas Klei: omfietsharing.;Ja;Een van de keurmeesters proeft een klein bittertje, maar voor de rest een prima haring. Ook zilt en iets romig. Fris en blank visvlees.;8.97;Gemiddeld;Zeer goed;72;2.30;3.15;4.1;10.4;Goed;17_023_16_004;23
Coop Hof van Delft;Hof van Delftlaan 69-75 - Delft;2.0;Op het etiket: ‘Na openen de haring 10 tot 15 minuten laten staan om de smaak tot zijn recht te laten komen.’ Dan weet de leverancier dat de ergste stank is verdwenen.;Nee;Verpakking openen is het deksel van een rioolput lichten. Verzuurd en verzoet. Ruikt ook muf. Lijkkleur met gele componenten. Rans. Oneetbaar.;2.0;Sterk;Goed;45;2.99 (2 stuks);3.32;2.3;7.9;Zeer goed;17_125;24
Vis & Zoer;Geldersestraat 42 - Geldermalsen;2.0;Onmiddellijk verplicht op haringcursus. Les 1: koop een thermometer en ga gekoeld werken. Visdetaillist geeft zichzelf een brevet van onvermogen en is een gevaar voor de klanten.;Ja;Ingewanden en graten. Slijmdraden tussen de filets. Zure en weeïge lucht geeft al indicatie over de kwaliteit. Bruin verkleurd. Tegen bederf aan.;3.0;Sterk;Slecht;56;2.25;4.01;16.4;9.1;Goed;17_124;25
Vishandel Sontplein;Sontplein 3 - Groningen;5.5;Vrolijk stel hardwerkende vrouwen houdt de vaart en de stemming erin. Iets meer aandacht voor waar zij mee bezig zijn, zal de kwaliteit wel ten goede komen. Beetje kantje boord.;Ja;Haring beetpakken met de handen kost 0,5 punt. Slordig schoongemaakt: graten, vuil van de snijplank, ingewanden. Smaak: een bek vol mayonaise.;6.5;Gemiddeld;Matig;68;2.00;2.94;8.9;14.2;Zeer goed;17_090;26
Hollander's Nieuwe;Drachtsterweg 7 - Leeuwarden;6.5;Ook hier lijkt het een kwestie van bewustwording en puntjes op de i zetten. Een goed intern protocol kan daarbij een hulpmiddel zijn. Dat geeft iets om op terug te vallen.;Ja;Graten en smurrie. Even attentie! Omdat de temperatuur te hoog is wel een mooie glans. Belegen geur die terugkomt in de smaak. Zacht en vet.;7.0;Sterk;Matig;76;2.00;2.63;8.9;12.8;Zeer goed;16_076;27
Spakenburgse Visspecialist Arjan Pastoor;Molenstraat 21 - Rhenen;8.0;Pastoors doet zichzelf een groot plezier met dit resultaat. En nog belangrijker: zijn klanten ook. Doel voor de komende jaren kan zijn steeds een half puntje hoger te scoren.;Ja;Zilver aan de buitenzijde met mooie speklaag. Ook vanbinnen fris en transparant. Nog iets mals, zilt en romig. Kan er absoluut me door.;8.0;Licht;Zeer goed;61;2.25;3.68;5.1;7.5;Zeer goed;17_043;28
Grootveld Visspecialiteiten;Koningin Julianaplein 267a - Voorburg;9.0;Als een detaillist weet hoe hij deze kwaliteit haring moet behandelen ligt een hoog cijfer al snel in het verschiet. Grootveld grijpt zijn kans en scoort. Keurig gedaan.;Ja;Weer een haring die alles heeft om ook de kritische klant tevreden de deur te laten uitgaan. Goed schoongemaakt. Ruikt en oogt lekker. Smaakt prima.;9.0;Gemiddeld;Zeer goed;64;2.20;3.43;5.6;12.6;Zeer goed;16_024;29
Volendammer Visspecialist Steur;De Middend 232 a - Bovenkarspel;2.5;Stichting Wakker Dier zou er een punt van moeten maken dat de Clupea harengus ook na zijn dood niet mag worden mishandeld. Want daar is deze detaillist wel mee bezig.;Nee;Aan de haring hangt moeilijk te definiëren metalige lucht. Bruin en cyclaam verkleurd. Bitter en rans, mond vol klef visvlees. Redelijk walgelijk.;3.5;Gemiddeld;Matig;71;2.00;2.81;10.4;10.6;Goed;17_121;30
Vishandel Peter Nuninga de Haringspecialist;Verkoopwagen dagmarkt Grootzand - Sneek;8.5;"Nuninga heeft een prima haring onder handen. En hoewel dat in een verkoopwagen extra moeilijk is; blijft bewaking van de temperatuur belangrijk. Voor de rest gewoon prima.";Ja;Goed schoonmaken is het halve werk. Zilver en glanzend. Segmenten aan buitenzijde zichtbaar. Vanbinnen beetje bruin. Nog iets zilt en romig.;9.0;Gemiddeld;Zeer goed;55;2.00;3.63;8.1;13.0;Zeer goed;16_027;31
Vishandel Nick;Markt 8 - Druten;8.5;Nick wilde graag weten ‘waar hij staat’ en geeft zichzelf op voor de test. Hij hoeft zich geen zorgen te maken. Haal alle graten weg en een nog hogere score ligt binnen handbereik.;Ja;Misschien waren het de zenuwen, maar hier zijn echt veel te veel graten achtergebleven. Voor de rest best wel een smakelijke Nieuwe.;8.5;Gemiddeld;Matig;79;2.50;3.76;4.2;12.6;Goed;17_030;32
Haringkraam Miep Hoeben;Stationsstraat / Smallepad - Bergen aan Zee;7.0;De kraam van Miep Hoeben is al 100 jaar een begrip in Bergen. Met het haringlied over de luidsprekers en korenwijn en een vrolijk praatje voor iedereen een unieke belevenis.;Ja;Op een stukje opperhuid na goed schoongemaakt. Ruikt fris. Het rijpingsproces is al gevorderd en dat proef je ook. Maar zeker niet onaangenaam.;8.0;Sterk;Goed;75;2.50;3.33;8.9;14.5;Waarschuwingsfase;16_063;33
Vishandel De Klok;Herenstraat 43 - Voorhout;7.5;De Klok heeft een trouwe klantenkring die het bedrijf massaal voor deelname aan de test aanmeldde. Deze haring verdient helaas echter niet de loftrompet.;Ja;"Keurige middenmoter. De beste smaakeigenschappen zijn verdwenen; het rijpingsproces is flink op gang. Geen echt negatieve eigenschappen.";7.5;Gemiddeld;Zeer goed;62;2.00;3.22;2.9;12.7;Zeer goed;16_054;34
Vis Enzo;Tongelresestraat 270 a - Eindhoven;3.5;Deze visdetaillist heeft misschien van huis uit wat minder met haring. Hij blijkt in elk geval wel in staat om een ooit goede haring vakkundig om zeep te helpen.;Nee;De geur is de eerste indicatie en even later bevestigen de smaakpapillen het: zo rans als de pest. Bruin, muf en vettig. Waar is die afvalbak?;4.5;Gemiddeld;Goed;65;2.25;3.46;14.5;9.1;Voldoende;17_113;35
Vishandel gebroeders Van Zuilen & Zn;Winthontlaan 10 - Utrecht;2.5;Als klant voel je je terecht genomen. Normaal geldt de regel dat je pas weet hoe een haring smaakt als je hem proeft. Hier weet je op voorhand dat het verschrikkelijk zal zijn.;Nee;Mogen we overslaan? De haring ligt te glimmen in de vitrine en wordt met de handen beetgepakt. Geel en cyclaam verkleurd. Rans. Vet. Wee. Muf.;4.5;Sterk;Goed;60;2.25;3.75;13.6;13.6;Waarschuwingsfase;16_114;36
Vishandel ’t Dolfijntje;Ring 5 - Burgh-Haamstede;3.5;Burgh-Haamstede is in de zomer natuurlijk één grote toeristenfuik. ’t Dolfijntje zal denken dat kwaliteit er niet toe doet als je die klanten toch nooit meer terugziet. Tja…;Ja;Graten en een te lange hoofdgraat. Personeel staat te eten achter de snijplank. Geen vork gebruikt. Donkerbruin, bitter, rans en metaalsmaak.;5.0;Gemiddeld;Matig;66;2.00;3.03;12.9;8.7;Zeer goed;17_110;37
Vishandel Schuur;Poststraat 36 - Wildervank;3.5;Zelfs na het bezoeken van honderden viswinkels kun je in een flits worden getroffen door de treurigheid van het leven. Wat een armoede. Hiermee een bestaan opbouwen? Knap.;Nee;"De haring glimt je tegemoet; meestal een slecht teken. Blubberige massa. Bruin en cyclaam verkleurd. Vet hapje, glijdt soepel naarbinnen.";5.0;Gemiddeld;Goed;63;2.00;3.17;13.9;7.3;Waarschuwingsfase;17_111;38
Vishandel Bert Blokhuis;Verkoopwagen zaterdag parkeerterrein Lage Engweg - Putten;8.0;Verkooppunt dat hier een beetje uit de loop staat. Dat de klanten Blokhuis toch in groten getale weten te vinden zegt iets over de naam die hij inmiddels heeft opgebouwd.;Ja;Haring ziet eruit om door een ringetje te halen. Toch zijn de eerste verkleuringen al zichtbaar. Gerijpte smaak. Op zich helemaal niets mis mee.;8.0;Gemiddeld;Zeer goed;65;2.00;3.07;3.2;15.5;Zeer goed;16_044;39
EMTE;Hofvijver 2 - s-Hertogenbosch;1.0;Je zou de inkopers van moederbedrijf Sligro moeten verplichten dagelijks twee van dergelijke kotsharingen naar binnen te werken. Wedden dat de kwaliteit dan snel verbetert?;Nee;"De haring ruikt zuur en rans. De buitenzijde karamel en bruin verkleurd; vanbinnen geel en cyclaam. Klevers die slijmdraden trekken. Verschrikkelijk.";1.0;Sterk;Goed;62;2 / 2.00;1.61;4.8;11.5;Goed;16_131;40
Vishandel Tammenga;Verkoopwagen Borgsloot - Groningen;4.0;Zelden zo’n droef verkooppunt gezien. Onverzorgd, niet schoon, en personeel waar de last van het leven vanaf straalt. Oprecht medelijden met deze ondernemers.;Ja;Schoonmaken duurt eindeloos en dan nog huid en graten. Licht- en donkerbruin verkleurd. Een mond vol vettige substantie. Haring? Bah!;5.0;Gemiddeld;Matig;64;2.00;3.12;13.9;7.9;Goed;17_106;41
Visgilde Hans Visscher;Melkmarkt 32 - Zwolle;8.5;Visgilde Hans Visscher is al vele jaren een betrouwbare vaste waarde. Altijd uiterst verzorgd een genoegen om hier binnen te lopen. Moet u ook doen als u in de buurt bent.;Ja;Frisse iets gerijpte geur. Helaas mis je het zilte en romige in de smaak. Maar zeker een Hollandse nieuwe waarvan je met volle teugen kunt genieten.;8.5;Gemiddeld;Zeer goed;66;2.10;3.18;3.6;11.9;Zeer goed;16_038;42
Visspeciaalzaak 't Visnet;Nieuwstraat 38 - Barneveld;7.0;Mooie zaak waar Hollandse nieuwe geen speerpunt is maar gewoon een van de vele producten lijkt. Geen afwijkingen maar de smaak van het echte maatje is ver weg.;Ja;Te veel graten en vuil van de snijplank. Aan de zachte structuur is te zien dat de haring lang in de pekel heeft gelegen. Iets doorgerijpt en bitter.;7.0;Gemiddeld;Matig;55;1.85;3.36;6.0;13.1;Zeer goed;16_070;43
Visgilde Teun van der Toorn;Doortocht 3 b - Bodegraven;8.97;De immer rustige Teun van der Toorn stelt nooit teleur. Vakman die de Hollandse Nieuwe tot in de toppen van zijn vingers onder controle heeft. De moeite van het omrijden waard.;Ja;Wat kan haring toch lekker zijn. Fris, je ruikt de zee. Afgezien van een tikkeltje karamelverkleuring een plaatje. Een genot om mee te maken.;8.97;Gemiddeld;Zeer goed;67;2.25;3.35;2.9;12.2;Zeer goed;17_018;44
Simonse Visspecialiteiten;Walstraat 2a - Oss;2.0;De eigenaar wringt zich in allerlei bochten om de gang van zaken te verklaren. Wellicht was het een ongelukkige samenloop van omstandigheden maar als klant koop je wel rotte haring.;Nee;De koelvitrine staat buiten in de zon. Temperatuur te hoog en dat versnelt de fermentatie. Met handen beetgepakt. Bruin en cyclaam. Smaakt rans.;3.5;Sterk;Goed;69;2.50;3.62;11.4;13.4;Goed;16_118;45
Rene’s Visspeciaalzaak;Herenhof 34 - Alphen a/d Rijn;5.0;Niet vers van het mes snijden is een keuze, maar het niet beheersen van de temperatuur in de vitrine toont gebrek aan vakmanschap. Dat ga je snel proeven.;Nee;Het schoonmaken is uitstekend gedaan, maar daarmee hebben we het wel gehad. Tranige geur komt in de smaak terug. Vet en zalvig. Iets metaal.;6.0;Sterk;Zeer goed;63;2.10;3.33;10.2;10.0;Goed;17_097;46
Van Arenthals Vishandel Kees;Geert Groteplein 11 - Alkmaar;6.5;Van Arenthals heeft in Alkmaar een goede naam, maar maakt deze niet waar. Slordigheden in de bedrijfsvoering kosten punten. Misschien tijd om de zaak eens goed door te lichten.;Ja;Haring pak je met een vork, niet met je handen. Temperatuur is ook te hoog. Nog iets fris en rood. Mals maar niet zilt en romig. Beter verwacht.;7.5;Gemiddeld;Zeer goed;68;2.20;3.23;8.9;10.9;Voldoende;17_072;47
Vishandel Schot-Bout;Turfkade - Brielle;5.0;Teleurstellend resultaat van verkooppunt dat bekendstond om zijn goede haring. Aan de (sub)top blijven is topsport. Als de aandacht verslapt, krijg je dit soort vreemde uitglijders.;Nee;Veel te veel graten om aangenaam te eten. Ruikt een beetje zuur. Al het frisse is verdwenen. Rare, afwijkende smaak. Ook bitter en metaalsmaak.;5.5;Gemiddeld;Matig;53;1.90;3.27;7.1;12.6;Zeer goed;17_100;48
Van Altena Seafood;Amstelveenseweg/hoek Kalfjeslaan - Amsterdam;5.0;De oude Van Altena, ooit wereldberoemd in Amsterdam met zijn kraam naast het Rijksmuseum en bekend om zijn fanatisme, draait zich in zijn graf om dat dit over de toonbank gaat.;Ja;Op het schoonmaken is niets aan te merken. Temperatuur is veel te hoog. Daardoor ook die olieachtige, vettige smaak. Bitter en iets metaal.;6.0;Gemiddeld;Zeer goed;74;3.00;4.05;14.2;12.5;Zeer goed;17_099;49
Visspecialist Hellevoetsluis;Struytse Hoeck 319a - Hellevoetsluis;9.0;Een paar jaar geleden zou de Visspecialist met dit eindcijfer nog in de top 10 hebben gestaan. Door de toegenomen concurrentie lukt dat nu niet. De prestatie is niet minder.;Ja;Hier wordt een mens nou blij van. Alleen maar positieve eigenschappen. Ligt er wonderschoon bij. Mals. Zilt en romig. Gewoon erg lekker.;9.0;Gemiddeld;Zeer goed;53;1.95;3.67;4.5;16.5;Zeer goed;16_021;50
Heeren van de Zee;Verkoopwagen zaterdag bij winkelcentrum Rijkerswoerd - Arnhem;8.0;Keurige verkoopwagen van waaruit jonge ondernemers met zichtbaar plezier aan de slag zijn. Exponenten van een nieuwe generatie visdetaillisten. Nu dit niveau vasthouden.;Ja;"Haring oogt fris. Maar het gevaar ligt op de loer; karamelkleuring heeft al ingezet. Goed van smaak maar het romige is verdwenen. Licht gezouten.";8.5;Gemiddeld;Zeer goed;56;1.95;3.48;8.3;8.0;Zeer goed;16_041;51
Zeevishandel Kees Heinen;Verkoopwagen dinsdag Waardenburglaan - Tiel;5.0;Verkooppunt maakt een enigszins rommelige indruk. Dat het naar rottend afval stinkt , draagt ook al niet bij tot de feestvreugde. En dan ook nog een matige haring.;Ja;Ondanks de zeer hoge buitentemperatuur slaagt Heinen erin beneden de 7 graden te blijven. Knap. Voor de rest helaas een vettige gratenbak.;6.0;Gemiddeld;Slecht;65;2.25;3.46;6.1;10.5;Slecht;17_096;52
Vishandel Vossole;1e Hogeweg 1 - Zeist;7.5;Eigenaar is het niet eens met kritische opmerkingen in verleden en lucht zijn hart. Dat mag. Communicatie is de basis voor wederzijds begrip.;Ja;"Visvlees is aan de zachte kant; hier en daar begint de bruinkleuring al. Ruikt fris en iets gerijpt. Met wat goede wil is het romige nog terug te vinden.";8.0;Gemiddeld;Goed;76;2.25;2.96;7.6;13.1;Zeer goed;16_050;53
Vishandel Smeets-Jonk;Verkoopwagen weekmarkt woensdag Kerkstraat - Born;0.0;Het is 09.30 uur en de volle schalen visafval, sorry haring, kunnen zo de vuilnisbak in. Heeft deze visdetaillist enig idee waarmee hij bezig is? Gelet op wat hij doet waarschijnlijk niet.;Nee;Graten, smurrie en anaalvin. Haring van de vorige dag gepresenteerd op verse sla. Een doodzonde! Rans. Geel en cyclaam verkleurd. Oneetbaar!;0.0;Sterk;Slecht;69;1.75;2.53;6.5;10.6;Waarschuwingsfase;17_141;54
Oppidium Heinen Vis;Groningerstraat 166 - Amersfoort;1.5;Als je een viszaak opent, zet je toch je beste beentje voor. Zou je denken. Hier niet. Ga zo door en het is niet moeilijk te voorspellen dat de deuren over niet al te lange tijd weer dichtgaan.;Ja;De eerste sporen van bederf zijn al in de geur waarneembaar. Kleur en smaak zijn niet veel beter. In één woord te omschrijven: rotzooi.;2.0;Sterk;Matig;48;1.75;3.64;9.9;8.3;Zeer goed;17_131;55
Visspecialist Pasel;Dierenriemstraat 126 - Groningen;8.0;Pasel staat al jaren bekend als de beste visdetaillist van Groningen. Maakt van een goede haring een erezaak en werkt daar hard voor. Dat betaalt zich nu niet helemaal uit.;Ja;"Huid nog ruim aanwezig. Op geur nog tikkeltje zilt. Zilver vanbuiten; transparant vanbinnen. Mist in de smaak het zilte en het romige. Dat is jammer.";8.0;Gemiddeld;Goed;71;2.25;3.16;-0.7;15.0;Zeer goed;16_043;56
Visgilde Teun van der Toorn;Doortocht 3b - Bodegraven;9.0;Na een bezoek aan de supermarkt herken je hier de meerwaarde van de echte visdetaillist. Van der Toorn is een positief uithangbord voor de gehele branche.;Ja;Hier kennen ze het geheime behandelplan van dit maatje. Houd hem koud en nog eens koud. Dan behoud je zeker de optimale smaak.;9.0;Gemiddeld;Zeer goed;63;2.25;3.3;2.6;12.0;Zeer goed;16_015;57
Vishandel Boels;Menistenplein 1 - Stadskanaal;5.5;Boels is provinciaal winnaar van de Kibbelingcup, een marketingproject van de Vereniging Nederlandse Visdetaillisten. Jammer dat hij niet meer aandacht heeft voor de Hollandse Nieuwe.;Nee;"Haringfilets kleven iets aan elkaar; niet fris. Buitenzijde karamel, vanbinnen bruin verkleurd. Vrijwel geen bite. Iets klef en olieachtig.";6.5;Gemiddeld;Goed;80;2.20;2.75;9.9;11.2;Waarschuwingsfase;17_089;58
